AREA,PERIMETER,QCST_TAG,FCODE,GEOMETRY,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
,682.899,ISLAND,GE14850000,,5221,29252.6643,682.8993,,
,221.221,ISLAND,GE14850000,,5321,3390.0384,221.2202,,
,2637.275,ISLAND,GE14850000,,5257,473231.5943,2637.2744,,
,1130.554,ISLAND,GE14850000,,617,50603.1406,1130.5546,,
,325.852,ISLAND,GE14850000,,943,7135.4749,325.8523,,
,797.247,ISLAND,GE14850000,,933,40224.5043,797.2467,,
,1562.224,ISLAND,GE14850000,,927,86817.8477,1562.2231,,
,1762.839,ISLAND,GE14850000,,928,93140.5378,1762.838,,
,812.218,ISLAND,GE14850000,,923,45426.1554,812.2184,,
,6466.41,ISLAND,GE14850000,,899,961322.788,6466.4083,,
,455.939,ISLAND,GE14850000,,919,13927.7701,455.9394,,
,1815.138,ISLAND,GE14850000,,913,125733.451,1815.1374,,
,351.889,ISLAND,GE14850000,,915,7702.9747,351.8897,,
,316.676,ISLAND,GE14850000,,912,7234.6101,316.6759,,
,493.946,ISLAND,GE14850000,,895,16857.7834,493.9454,,
,860.65,ISLAND,GE14850000,,887,28045.89,860.6499,,
,5642.815,ISLAND,GE14850000,,862,792678.5441,5642.8143,,
,918.931,ISLAND,GE14850000,,864,55292.7175,918.9318,,
,5228.816,ISLAND,GE14850000,,858,706866.7436,5228.8152,,
,4395.185,ISLAND,GE14850000,,853,760938.5495,4395.1849,,
,1930.357,ISLAND,GE14850000,,861,145531.0157,1930.3566,,
,680.332,ISLAND,GE14850000,,856,29963.1888,680.3334,,
,450.283,ISLAND,GE14850000,,855,11498.9901,450.2834,,
,1948.638,ISLAND,GE14850000,,848,162770.0065,1948.6382,,
,2542.896,ISLAND,GE14850000,,847,255769.4438,2542.8956,,
,379.621,ISLAND,GE14850000,,851,9220.8056,379.6221,,
,2844.508,ISLAND,GE14850000,,845,250119.5307,2844.509,,
,1171.051,ISLAND,GE14850000,,846,59770.4672,1171.0523,,
,982.718,ISLAND,GE14850000,,844,54227.6111,982.718,,
,389.626,ISLAND,GE14850000,,843,10164.1725,389.6257,,
,1346.537,ISLAND,GE14850000,,724,87916.1186,1346.5362,,
,3381.021,ISLAND,GE14850000,,890,487044.7485,3381.0222,,
,2604.802,ISLAND,GE14850000,,727,155394.9644,2604.8024,,
,674.408,ISLAND,GE14850000,,904,21103.6707,674.4082,,
,1160.913,ISLAND,GE14850000,,730,46485.5408,1160.9132,,
,2702.833,ISLAND,GE14850000,,921,205465.6899,2702.831,,
,271.011,ISLAND,GE14850000,,935,5289.4731,271.0095,,
,343.155,ISLAND,GE14850000,,934,8232.937,343.1556,,
,318.798,ISLAND,GE14850000,,944,7422.4876,318.7971,,
,341.627,ISLAND,GE14850000,,942,7955.4992,341.6268,,
